--------------------------------------------------【Header】--------------------------------------------------
2022-07-23 11:03:07,383 INFO  [35964-6] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-07-23 11:03:07,384 INFO  [35964-6] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-07-23 11:03:07,385 INFO  [35964-6] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY3  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-07-23 11:03:07,386 INFO  [35964-6] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:3  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-07-23 11:03:07,387 INFO  [35964-6] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY4  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-07-23 11:03:07,388 INFO  [35964-6] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:4  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-07-23 11:03:07,389 INFO  [35964-6] DisplayInfoGet  [{"DeviceInstanceId":"DISPLAY\\MSI3CA3\\5&14475071&0&UID4356","Description":"Generic PnP Monitor","DisplayIndex":1,"MonitorIndex":0}]  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(52行)
2022-07-23 11:03:07,390 INFO  [35964-6] DisplayInfoGet  GetDisplayList()获取到显示器数量：1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(89行)
2022-07-23 11:29:45,618 INFO  [35964-11] DisplayManage  修改外屏亮度为：64  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:45,772 INFO  [35964-6] DisplayManage  修改外屏亮度为：33  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:45,922 INFO  [35964-6] DisplayManage  修改外屏亮度为：27  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:46,075 INFO  [35964-11] DisplayManage  修改外屏亮度为：40  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:46,257 INFO  [35964-12] DisplayManage  修改外屏亮度为：74  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
